Dimension	EstimatedCVar2	ExactCVar2	ActualUpdateShare	EstimatedFraction	ExactFraction	SampleCount
1	0.07699347063175797	0.08075929218493627	12.540444444444445	0.08456986381362731	0.08800497771788568	112864
2	0.1267757390415971	0.12500000000000022	12.487555555555556	0.10851924368743214	0.10948786618444607	112388
3	0.1576464339182847	0.15280991166393187	12.499888888888888	0.1210126463669338	0.12105611932295253	112499
4	0.18935309754003865	0.171875	12.458777777777778	0.13262484514660194	0.12838590326524105	112129
5	0.19333712275629014	0.1857473377114729	12.501666666666667	0.13401280839116947	0.13346650383974581	112515
6	0.2005848385518515	0.1962890625	12.509555555555556	0.1365015976436883	0.13720155569129436	112586
7	0.22101889909347622	0.20456872402435344	12.478777777777777	0.14328587777106797	0.14006531538491093	112309
8	0.20941300509114155	0.21124267578125	12.523333333333333	0.13947311717947894	0.14233175859352354	112710
