Repetition	ExactVolume	Estimate	MeanEstimate	Variance	CVar2
0	3.2985089027387064	2.997846244526778	2.997846244526778	NaN	NaN
1	3.2985089027387064	3.376455054965414	3.187150649746096	0.07167231567087952	0.007937774819331993
2	3.2985089027387064	3.173467287775016	3.182589529089069	0.035898569300383626	0.0038395293137334884
3	3.2985089027387064	3.2835204955532435	3.2078222707051127	0.026479144531437158	0.0027340867640677563
4	3.2985089027387064	3.276759237163503	3.221609663996791	0.02080981946747491	0.002105289250076968
5	3.2985089027387064	3.2852757113703572	3.232220671892385	0.01732341650534213	0.0017272703066794908
6	3.2985089027387064	3.1008359853781284	3.213451430961777	0.016902171256896942	0.0016952704182895653
7	3.2985089027387064	3.3108004572488814	3.225620059247665	0.01567217947793544	0.001553341465851805
8	3.2985089027387064	3.3093145538734294	3.2349194475394167	0.014491464646600408	0.001423261046871296
9	3.2985089027387064	3.331384012187063	3.2445659040041814	0.013811843131355242	0.0013448142505423045
10	3.2985089027387064	3.3686872209890786	3.2558496600937175	0.01383121348458929	0.0013344166003179164
11	3.2985089027387064	3.2579694688458005	3.256026310823058	0.012574204906297837	0.0012107641817266678
12	3.2985089027387064	3.2325281258973946	3.2542187581364685	0.011568828704732045	0.0011134441257572131
13	3.2985089027387064	3.2046832681675927	3.2506805088529775	0.010854187716257797	0.0010455277937752758
14	3.2985089027387064	3.601587126463746	3.274074283360362	0.018287918879203297	0.0017344660920774568
15	3.2985089027387064	3.3865816177687162	3.2811059917608842	0.01785984305573599	0.0016848859198075965
16	3.2985089027387064	3.363309426289227	3.2859414879096103	0.017141097255826344	0.0016108650000733133
17	3.2985089027387064	3.2027042990004047	3.2813171996368764	0.01651771017377648	0.0015554060192990505
18	3.2985089027387064	3.283383679324333	3.28142596172569	0.015600284363213972	0.0014678592977311379
19	3.2985089027387064	3.2806904198851585	3.2813891846336634	0.014779243816240038	0.0013897342506887815
20	3.2985089027387064	3.2235202843666984	3.2786335227161887	0.014199748750099841	0.0013367018514945938
21	3.2985089027387064	3.364985327922581	3.2825586047710247	0.013862508159208631	0.0013011404316769658
22	3.2985089027387064	3.204400640950497	3.2791604324310017	0.013497988382779307	0.0012689334366204333
23	3.2985089027387064	3.3001161736314475	3.2800335883143537	0.012929416951377637	0.0012142912347981754
24	3.2985089027387064	3.2462628117613854	3.278682757252235	0.012436309859029855	0.001168460712612749
25	3.2985089027387064	3.2518246301472757	3.277649752363583	0.011966602041268128	0.0011246094322947767
26	3.2985089027387064	3.2787437945564433	3.2776902724448	0.01150639244728248	0.0010809512308560941
27	3.2985089027387064	3.3967994884257067	3.2819441730155465	0.011586908525892163	0.0010853395289072139
28	3.2985089027387064	3.3330573089587756	3.283706694944623	0.011263178387216985	0.0010535620489890215
29	3.2985089027387064	3.2977314413345007	3.2841741864909526	0.010881349375965492	0.0010172659606809448
30	3.2985089027387064	3.384872564047858	3.287422521250853	0.010845739770183624	0.0010116643719391936
31	3.2985089027387064	3.3117184765386676	3.288181769853597	0.010514323867056504	9.800527608536801E-4
32	3.2985089027387064	3.4079750439533174	3.29181186906874	0.010620612716499797	9.875458507297155E-4
33	3.2985089027387064	3.3593758878057214	3.293799046090416	0.010433037633041166	9.687199278524543E-4
34	3.2985089027387064	3.3210722461979203	3.2945782803792016	0.010147435797699228	9.415594080955864E-4
35	3.2985089027387064	3.171510144918175	3.29115972106084	0.01027822478189582	9.55489024943155E-4
36	3.2985089027387064	3.4096222201253052	3.2943614102247443	0.01037199863753801	9.621538455927617E-4
37	3.2985089027387064	3.257011234814651	3.293378510871847	0.01012838581327816	9.399500693921927E-4
38	3.2985089027387064	3.672200858464749	3.3030919043998703	0.013541499883887104	0.0012491094940190292
39	3.2985089027387064	3.304140558971611	3.303118120764164	0.013194309430056679	0.0012168704617996336
40	3.2985089027387064	3.4230373019978653	3.3060429788430348	0.01321519828034822	0.0012164570775623214
41	3.2985089027387064	3.267095638003522	3.305115661203999	0.012928992927225462	0.0011906080008274177
42	3.2985089027387064	3.1845530935228847	3.3023118805602523	0.012959190755916249	0.0011952516857248532
43	3.2985089027387064	3.372790434116586	3.303913665868351	0.012770705738331462	0.0011765709356042
44	3.2985089027387064	3.3770995293458106	3.3055400183900723	0.012599488439717576	0.0011595090523934977
45	3.2985089027387064	3.258246767113627	3.3045119042318887	0.0123681226689477	0.0011387884348513008
46	3.2985089027387064	3.193282873217372	3.3021453291039204	0.01236248229532104	0.001139770131562837
47	3.2985089027387064	3.4397469475198204	3.305012029487585	0.012493913369428447	0.0011497634044956258
48	3.2985089027387064	3.217857234293078	3.303233360197901	0.012388643065226508	0.001141183236415545
49	3.2985089027387064	3.0807896228343625	3.2987844854506303	0.013125437940760938	0.0012121935754270286
50	3.2985089027387064	3.281437655749905	3.29844435153493	0.012868829427056815	0.0011886237815200173
51	3.2985089027387064	3.330852854231486	3.299067591971402	0.012636697727657008	0.0011666326354692518
52	3.2985089027387064	3.3667706888564117	3.300345008893761	0.012480169391474451	0.0011511861028156815
53	3.2985089027387064	3.247385078047996	3.2993642694336542	0.012296634391280654	0.0011348323553555923
54	3.2985089027387064	3.4927237737558237	3.3028798967849666	0.012748698901621456	0.0011739507933435167
55	3.2985089027387064	3.273675015485171	3.3023583810474704	0.012532135181346984	0.0011542799873136315
56	3.2985089027387064	3.1273326812011537	3.2992877547343773	0.012845785572524313	0.001185279882638339
57	3.2985089027387064	3.4362539519943507	3.301649240894032	0.012943864692527184	0.0011925319807626431
58	3.2985089027387064	3.425885059013201	3.3037549327265605	0.012982296959142546	0.0011944617113350175
59	3.2985089027387064	3.195476222833006	3.301950287561668	0.012957662677901863	0.0011934147737954633
60	3.2985089027387064	3.332469004908098	3.3024505944034126	0.01275697035635986	0.0011744949290915787
61	3.2985089027387064	3.3273272150312376	3.3028518302199905	0.01255782108597149	0.0011558028877377334
62	3.2985089027387064	3.2640008869311705	3.3022351485804853	0.012379234247988523	0.0011397189520295792
63	3.2985089027387064	3.124465734882637	3.2994575014914562	0.01267651916075062	0.0011689827365350249
64	3.2985089027387064	3.5783319837471588	3.303747878141544	0.013674925115839063	0.0012577036513376134
65	3.2985089027387064	3.37945224480767	3.3048949140001214	0.01355137727573542	0.0012454034772195499
66	3.2985089027387064	3.5078006705734053	3.3079233581280807	0.01396054212464175	0.0012805864195810646
67	3.2985089027387064	3.1929927353487386	3.306233201910737	0.013946426530927602	0.0012805298913395797
68	3.2985089027387064	3.1533573262280474	3.304017609509539	0.014080042651608962	0.001294463922038463
69	3.2985089027387064	3.23518576243254	3.303034297408439	0.013943667250627085	0.0012826233216781872
70	3.2985089027387064	3.2147238700979703	3.30179048857308	0.013854313293932618	0.0012753004120680256
71	3.2985089027387064	3.333051430004708	3.302224668315186	0.013672754988267411	0.0012581955700068348
72	3.2985089027387064	3.227866230420784	3.3012060595769066	0.013558597768034414	0.0012484014911611644
73	3.2985089027387064	3.2579295194348767	3.300621241466879	0.013398172456448332	0.001234010688108682
74	3.2985089027387064	3.412047057413299	3.3021069190128314	0.01338265890469274	0.0012314176876837238
75	3.2985089027387064	3.397626146601906	3.303363750954793	0.013324275068935609	0.0012250591203696606
76	3.2985089027387064	3.2258855523179473	3.3023575405828858	0.013226915027198898	0.0012167970352770523
77	3.2985089027387064	3.298470566648445	3.302307707583726	0.013055330609531358	0.0012009987113547715
78	3.2985089027387064	3.419981633482869	3.303797250949538	0.013063234991727941	0.0012005939319475157
79	3.2985089027387064	3.295954730354281	3.3036992194420973	0.012898646400885448	0.0011854908053417173
80	3.2985089027387064	3.505512526642448	3.3061907417532126	0.013240235678444049	0.0012150055329437177
81	3.2985089027387064	3.1329086522902934	3.3040775455402502	0.013442955033937429	0.0012351404282970834
82	3.2985089027387064	3.379347629242377	3.3049844140185893	0.01334727662418519	0.0012256316847199375
83	3.2985089027387064	3.327445573955569	3.305251808779744	0.01319247205894462	0.0012111772462820507
84	3.2985089027387064	3.5624192622189503	3.3082773082319696	0.013813478809658325	0.0012658280513053075
85	3.2985089027387064	3.3348845150900392	3.308586694358226	0.013659199194910907	0.0012514135503674604
86	3.2985089027387064	3.308557204049175	3.3085863553891564	0.013500371307291969	0.0012368212762211468
87	3.2985089027387064	3.2698834230269127	3.308146549339585	0.013362216409388008	0.0012244500191751007
88	3.2985089027387064	3.295499538273374	3.3080044480916504	0.013212170197154665	0.0012107659753101774
89	3.2985089027387064	3.280006227763195	3.3076933567546676	0.013072428850419955	0.0011981481068523033
90	3.2985089027387064	3.47088683620504	3.3094866916936825	0.013219840209488637	0.0012103094063136226
91	3.2985089027387064	3.3613503615447105	3.3100504272355415	0.013103804634179863	0.0011992417425056147
92	3.2985089027387064	3.504137033791724	3.31213737999421	0.01336642155408575	0.0012216994032733278
93	3.2985089027387064	3.303839920619575	3.312049109149799	0.013223429014884054	0.0012086597457734033
94	3.2985089027387064	3.4991245813635357	3.314018324646786	0.013451146157119365	0.0012279787733845658
95	3.2985089027387064	3.2882652943241704	3.3137500639142585	0.013316463671718303	0.0012158469664130625
96	3.2985089027387064	3.1674267376150147	3.3122415760142663	0.013398477475680258	0.0012244169069109457
97	3.2985089027387064	3.205771600818388	3.311155147695941	0.013376020838014552	0.0012231349020501154
98	3.2985089027387064	3.292883793952802	3.3109705885672227	0.013242902974590727	0.0012110661685183386
99	3.2985089027387064	3.2621847400098876	3.3104827300816493	0.013132936868072282	0.0012013334910349136
