Repetition	ExactVolume	Estimate	MeanEstimate	Variance	CVar2
0	3.2985089027387064	3.445188916727285	3.445188916727285	NaN	NaN
1	3.2985089027387064	3.3844001171181097	3.414794516922697	0.0018476390789622405	1.7825450353472564E-4
2	3.2985089027387064	3.395525455547889	3.4083714964644276	0.0010475851149031636	9.769167943956017E-5
3	3.2985089027387064	3.473913290364428	3.4247569449394275	0.001772321763509644	1.6055062448423638E-4
4	3.2985089027387064	3.2811514738525576	3.3960358507220536	0.0054537475878486015	4.965234912335428E-4
5	3.2985089027387064	3.252456834713527	3.3721060147206323	0.0077988203766083284	7.144226994981481E-4
6	3.2985089027387064	3.4242820734840356	3.3795597374011184	0.006887922853090099	6.246086377833818E-4
7	3.2985089027387064	3.6109826077185936	3.4084875961908025	0.012598501987324595	0.001118302857421325
8	3.2985089027387064	3.382463343920056	3.405596012605164	0.011098940539603627	9.835455792282447E-4
9	3.2985089027387064	3.3906723571521873	3.4041036470598662	0.009887996473300029	8.746345289574296E-4
10	3.2985089027387064	3.280467236409684	3.392863973364395	0.010288829738557343	9.140983420714642E-4
11	3.2985089027387064	3.3901668273357832	3.392639211195344	0.009354087796898313	8.296232795756674E-4
12	3.2985089027387064	3.3955767815222124	3.3928651781435644	0.008575244274292066	7.592517842670729E-4
13	3.2985089027387064	3.3155800443146104	3.3873448114414964	0.008342252378700761	7.40033428855508E-4
14	3.2985089027387064	3.3290279125617683	3.3834570181828476	0.007973101255123459	7.080836012791117E-4
15	3.2985089027387064	3.4437020309063273	3.387222331478065	0.007668402518826826	6.788141332602836E-4
16	3.2985089027387064	3.162907976840872	3.374027369440583	0.010148946755300174	9.046153435897031E-4
17	3.2985089027387064	3.064810774722379	3.356848669734016	0.014863888912292553	0.0013373937463378148
18	3.2985089027387064	3.4151867028219005	3.359919092528115	0.01421723973261003	0.0012759533022990725
19	3.2985089027387064	3.2395984136620144	3.35390305858481	0.014192817245349466	0.0012775050668640587
20	3.2985089027387064	3.164649313485988	3.344890975484866	0.01518874686088818	0.0013737181938473428
21	3.2985089027387064	3.2737110208432156	3.3416555230011546	0.014695772561881678	0.0013309949261438977
22	3.2985089027387064	3.1431942299931097	3.3330267711312396	0.01574025615312688	0.0014322845689252425
23	3.2985089027387064	3.192682017282968	3.327179073054228	0.015876590937144615	0.001449123518643465
24	3.2985089027387064	3.3101138639771515	3.3264964646911452	0.015226715169197364	0.001389803705408323
25	3.2985089027387064	3.424833631088042	3.330278663398718	0.014989577266082197	0.0013645334772145565
26	3.2985089027387064	3.2177806788664087	3.326112071379003	0.014881788268126934	0.0013576383801208684
27	3.2985089027387064	3.155017946418383	3.320001566916124	0.015376082339007264	0.0014074388649487034
28	3.2985089027387064	3.3111771186371723	3.31969727559616	0.01482962174420033	0.0013572535371968054
29	3.2985089027387064	3.371615661127147	3.3214278884471926	0.014408106102363746	0.0013169259831638065
30	3.2985089027387064	3.1629390754291427	3.3163153460917716	0.014738116668366797	0.0013508859250415297
31	3.2985089027387064	3.2917190273024106	3.315546711129604	0.014281599140594506	0.001309321435492366
32	3.2985089027387064	3.516002706577735	3.3216211352340927	0.015052953898090353	0.0013746725191700361
33	3.2985089027387064	3.345794363509425	3.3223321125363086	0.014613990396591442	0.0013337191546652035
34	3.2985089027387064	3.2019340302767363	3.318892167328892	0.014598329955683807	0.001334774705834071
35	3.2985089027387064	3.171306779918581	3.314792573234161	0.01478627499678872	0.0013550383130654863
36	3.2985089027387064	3.0995655306314998	3.308975626136792	0.015627509456509724	0.001436902125043879
37	3.2985089027387064	3.2798448081420015	3.308209025663245	0.015227476034933135	0.00140052183196079
38	3.2985089027387064	3.146721846812247	3.3040683287696297	0.015495422441209295	0.001428500624560034
39	3.2985089027387064	3.326736460676083	3.3046350320672913	0.015110950022178934	0.0013923571766763297
